MS SubClass,MS Zoning,Lot Area,Neighborhood,Overall Qual,Year Built,Gr Liv Area,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Garage Cars,Garage Area,SalePrice
20,RL,31770,NAmes,6,1960,1656,1,1,3,2,528,215000
20,RH,11622,NAmes,5,1961,896,0,1,2,1,730,105000
20,RL,14267,NAmes,6,1958,1329,0,1,3,1,312,172000
20,RL,11160,NAmes,7,1968,2110,1,2,3,2,522,244000
60,RL,13830,Gilbert,5,1997,1629,0,2,3,2,482,189900
60,RL,9978,Gilbert,6,1998,1604,0,2,3,2,470,195500
120,RL,4920,StoneBr,8,2001,1338,1,2,2,2,582,213500
120,RL,5005,StoneBr,8,1992,1280,0,2,2,2,506,191500
120,RL,5389,StoneBr,8,1995,1616,1,2,2,2,608,236500
60,RL,7500,Gilbert,7,1999,1804,0,2,3,2,442,189000
60,RL,10000,Gilbert,6,1993,1655,0,2,3,2,440,175900
20,RL,7980,Gilbert,6,1992,1187,1,2,3,2,420,185000
60,RL,8402,Gilbert,6,1998,1465,0,2,3,2,393,180400
20,RL,10176,Gilbert,7,1990,1341,1,1,2,2,506,171500
120,RL,6820,StoneBr,8,1985,1502,1,1,1,2,528,212000
60,RL,53504,StoneBr,8,2003,3279,1,3,4,3,841,538000
50,RL,12134,Gilbert,8,1988,1752,0,2,4,2,492,164000
20,RL,11394,StoneBr,9,2010,1856,1,1,1,3,834,394432
20,RL,19138,Gilbert,4,1951,864,0,1,2,2,400,141000
20,RL,13175,NWAmes,6,1978,2073,1,2,3,2,500,210000
20,RL,11751,NWAmes,6,1977,1844,0,2,3,2,546,190000
85,RL,10625,NWAmes,7,1974,1173,1,2,3,2,528,170000
60,FV,7500,Somerst,7,2000,1674,1,2,3,2,663,216000
20,RL,11241,NAmes,6,1970,1004,1,1,2,2,480,149000
20,RL,12537,NAmes,5,1971,1078,1,1,3,2,500,149900
20,RL,8450,NAmes,5,1968,1056,1,1,3,1,304,142000
20,RL,8400,NAmes,4,1970,882,1,1,2,2,525,126000
20,RL,10500,NAmes,4,1971,864,0,1,3,0,0,115000
120,RH,5858,NAmes,7,1999,1337,1,2,2,2,511,184000
160,RM,1680,BrDale,6,1971,987,0,1,2,1,264,96000
160,RM,1680,BrDale,5,1971,1092,0,1,3,1,320,105500
160,RM,1680,BrDale,6,1971,1092,0,1,3,1,264,88000
120,RL,4043,NPkVill,6,1977,1069,0,2,2,2,440,127500
160,RL,2280,NPkVill,6,1975,1456,0,2,3,2,440,149900
120,RL,2280,NPkVill,7,1975,836,0,1,2,1,308,120000
160,RL,2280,NPkVill,6,1978,1456,0,2,3,2,440,146000
60,RL,12858,NridgHt,9,2009,2334,0,2,3,3,751,376162
20,RL,11478,NridgHt,8,2007,1704,1,2,3,3,772,306000
20,RL,10159,NridgHt,9,2009,1940,1,2,3,3,606,395192
20,RL,12883,NridgHt,8,2009,1544,0,2,3,3,868,290941
20,RL,12182,NridgHt,7,2005,1541,0,2,3,2,532,220000
20,RL,11520,NridgHt,9,2005,1698,0,2,3,3,730,275000
20,RL,14122,NridgHt,8,2005,1822,0,2,3,3,678,259000
20,RL,10171,NridgHt,7,2004,1535,0,2,3,2,532,214000
20,RL,12919,NridgHt,9,2009,2364,1,2,2,3,820,611657
120,RL,6371,NridgHt,7,2009,1358,1,2,2,2,484,224000
20,RL,14300,NridgHt,9,2003,2696,1,2,3,3,958,500000
60,RL,13650,NridgHt,8,2002,2250,1,2,3,3,756,320000
120,RL,7658,NridgHt,9,2005,1752,1,2,2,2,576,319900
120,RL,7132,NridgHt,8,2006,1370,0,2,2,2,484,205000
160,RL,2628,NridgHt,7,2003,1626,0,2,2,2,474,175500
20,RL,18494,Gilbert,6,2005,1324,0,2,3,2,430,199500
120,RL,3203,Blmngtn,7,2006,1145,0,2,2,2,437,160000
120,RL,3182,Blmngtn,8,2004,1269,0,2,2,2,430,192000
80,RL,13300,Gilbert,7,2004,1374,1,2,3,2,400,184500
60,RL,7851,Gilbert,6,2002,1960,1,2,4,2,440,216500
60,RL,8577,Gilbert,7,2004,1733,0,2,3,2,433,185088
80,RL,7750,Gilbert,7,2000,1430,0,2,3,2,400,180000
60,RL,9505,Gilbert,7,2001,2035,0,2,3,2,434,222500
60,RL,14774,NoRidge,9,1999,2599,0,2,4,3,779,333168
60,RL,17433,NoRidge,8,1998,2475,0,2,4,3,962,355000
20,RL,10593,NoRidge,7,1996,1720,1,2,3,2,527,260400
60,RL,12256,NoRidge,8,1994,2622,1,2,3,2,712,325000
60,RL,11764,NoRidge,8,1999,2270,0,2,4,3,671,290000
60,RL,16770,NoRidge,7,1998,1839,0,2,4,2,486,221000
50,RL,14720,NoRidge,8,1995,3238,1,2,4,3,666,410000
20,RL,8987,Somerst,8,2005,1595,0,2,2,3,880,221500
20,FV,9215,Somerst,7,2009,1218,0,2,2,2,676,204500
60,FV,8640,Somerst,7,2009,1547,0,2,3,2,614,215200
20,FV,9000,Somerst,8,2008,1566,1,2,3,2,750,262500
60,FV,12552,Somerst,7,2004,1947,0,2,3,2,678,254900
20,FV,10440,Somerst,6,2005,1468,1,2,2,2,528,271500
60,RL,10142,SawyerW,7,2004,2084,1,2,4,2,618,233000
60,RL,11920,SawyerW,7,2004,1659,0,2,3,2,484,181000
60,RL,8880,SawyerW,7,1994,2110,1,2,3,2,463,205000
120,RL,8012,SawyerW,6,1980,923,0,2,2,1,264,143000
60,RL,11218,SawyerW,6,1992,1845,0,2,3,2,462,189000
120,RL,7892,SawyerW,6,1979,918,0,2,2,1,264,99500
120,RL,7175,SawyerW,6,1984,752,1,1,2,1,264,125000
60,RL,9453,SawyerW,7,1993,1744,0,2,3,2,457,194500
20,RL,9672,SawyerW,6,1984,1097,0,2,3,2,480,152000
60,RL,8400,SawyerW,6,1980,1564,0,2,3,2,476,171000
30,RH,9800,SawyerW,5,1920,1012,0,1,2,1,429,67500
90,RM,8930,Sawyer,6,1978,1902,0,2,4,2,539,112000
85,RL,11782,Sawyer,5,1961,1155,1,1,3,2,576,148000
20,RL,8450,Sawyer,5,1965,894,1,1,3,1,336,138500
20,RL,9819,Sawyer,5,1967,900,0,1,3,1,280,122000
20,RL,7500,Sawyer,5,1963,1040,1,1,3,1,308,133000
20,RL,6897,Sawyer,5,1962,1040,1,1,3,1,260,127000
20,RL,15410,Sawyer,6,1974,1494,1,2,3,2,461,169000
60,RL,10186,NoRidge,7,1992,1923,1,2,3,2,564,190000
60,RL,13143,NoRidge,8,1993,2349,1,2,4,3,762,362500
60,RL,11134,NoRidge,8,1992,2225,1,2,4,3,713,285000
120,FV,4835,Somerst,7,2004,1488,1,2,2,2,506,260000
160,FV,3515,Somerst,7,2004,1680,0,2,2,2,588,190000
160,FV,3215,Somerst,7,2004,1200,0,2,2,2,480,155000
160,FV,3182,Somerst,7,2004,1200,0,2,2,2,480,151000
160,FV,2544,Somerst,7,2004,1200,1,2,2,2,480,149500
160,FV,2544,Somerst,6,2005,1236,1,2,2,2,480,152000
20,FV,4403,Somerst,7,2009,1478,1,2,2,2,484,222000
160,FV,2117,Somerst,6,2000,1573,0,2,3,2,440,177500
160,FV,2980,Somerst,6,2000,1512,1,2,2,2,440,177000
160,FV,2572,Somerst,7,1999,1416,1,2,3,2,484,155000
160,FV,2403,Somerst,7,2003,1080,0,2,2,2,496,147110
20,FV,12853,Somerst,8,2010,1418,1,1,1,3,852,267916
60,FV,7379,Somerst,8,2000,1848,1,2,3,2,592,254000
120,RL,4420,Greens,8,1980,788,1,1,1,2,484,155000
120,RL,3880,Greens,8,1978,1226,1,1,1,2,484,206000
60,RL,13517,Sawyer,6,1976,1479,0,2,3,2,475,130500
20,FV,8000,Somerst,7,2002,1492,1,2,3,2,596,230000
20,RL,10456,NWAmes,6,1967,1829,1,2,4,2,535,218500
60,RL,10791,NWAmes,6,1993,2495,1,2,4,2,660,243500
20,RL,10603,NWAmes,6,1977,1610,1,2,3,2,480,205000
50,RL,18837,NWAmes,6,1978,1891,0,3,3,2,678,212500
